,names,scores,logfoldchanges,pvals,pvals_adj,cluster
0,IAPP,23.855461,3.623742,8.887455565742575e-126,2.4058342216465153e-121,0
1,SCGN,23.37354,2.7489836,7.943754631886604e-121,1.0751871894258519e-116,0
2,GAD2,23.245892,2.4714067,1.565351962390162e-119,1.4124692540633895e-115,0
3,UCHL1,23.14441,2.4160848,1.65500366402984e-118,1.1200237296321943e-114,0
4,PPP1R1A,22.871777,2.3340442,8.874559082656051e-116,4.003905239458322e-112,0
5,INS,22.840746,5.489284,1.8061542686930742e-115,6.984656579074502e-112,0
6,GCG,22.823906,4.979442,2.6550261296884953e-115,8.983944666333447e-112,0
7,PCSK1N,22.747566,3.1712363,1.5168403997815295e-114,4.562318846898445e-111,0
8,VAMP2,22.741827,1.6761458,1.728811137619639e-114,4.679891749536362e-111,0
9,CRYBA2,22.665838,2.2236764,9.737652963129194e-114,2.1966522142658938e-110,0
0,CFTR,38.55064,6.147743,0.0,0.0,1
1,ANXA4,38.175053,4.1149354,0.0,0.0,1
2,CD59,38.065838,2.5790498,0.0,0.0,1
3,ATP1B1,37.898388,2.6976264,0.0,0.0,1
4,HLA-B,37.885265,2.7954712,0.0,0.0,1
5,DEFB1,37.73474,5.5290003,0.0,0.0,1
6,ATP1A1,37.68912,3.0830019,0.0,0.0,1
7,CTSH,37.508152,4.1263504,6.783123688810015e-308,2.2952394782010887e-304,1
8,PMEPA1,37.48364,4.508627,1.7016456807376106e-307,5.118172064174124e-304,1
9,ANXA2,37.464584,2.8815024,3.476824477518414e-307,9.411763860642346e-304,1
0,SPINK1,38.92945,7.4406195,0.0,0.0,2
1,REG1A,38.8223,8.228281,0.0,0.0,2
2,MGST1,38.800613,5.0635123,0.0,0.0,2
3,CTRB1,38.735554,7.4861717,0.0,0.0,2
4,PRSS2,38.726486,7.8858256,0.0,0.0,2
5,CTRB2,38.688286,7.870717,0.0,0.0,2
6,PRSS1,38.540474,7.3319683,0.0,0.0,2
7,PLA2G1B,38.483055,6.905367,0.0,0.0,2
8,REG1B,38.357418,7.7428856,0.0,0.0,2
9,CPB1,38.323757,6.2758474,0.0,0.0,2
0,INS,28.356537,6.178793,6.9523999809354235e-177,9.410073374196097e-173,3
1,HADH,26.205166,2.5057466,2.3205171256968142e-151,4.832030660970213e-148,3
2,UCHL1,24.505074,2.7172065,1.3042120774525675e-132,8.82625523416025e-130,3
3,IAPP,24.403994,4.167937,1.5511331398794148e-131,1.024126197476482e-128,3
4,SAMD11,24.299694,2.7093542,1.974986428245415e-130,1.2150655139228042e-127,3
5,ADCYAP1,24.24229,2.8460894,7.973566714272697e-130,4.796543354563598e-127,3
6,MEG3,23.080832,2.3411686,7.213875292020279e-118,3.0996762564283957e-115,3
7,GAD2,22.843687,2.6927404,1.6886209256390116e-115,6.177157899601087e-113,3
8,PCSK1,22.701431,2.3902857,4.3365090446809526e-114,1.485940504297638e-111,3
9,RNF187,22.420452,1.8416296,2.486424905684008e-111,7.648582067825693e-109,3
0,DEFB1,10.14231,2.3001432,3.58520876661057e-24,5.524139926701111e-20,4
1,TTR,10.1296425,3.688162,4.0813741608430814e-24,5.524139926701111e-20,4
2,MMP7,9.961275,2.445684,2.2515625889682053e-23,2.0316599761123107e-19,4
3,SERPINA1,9.919352,2.4829786,3.429781002016833e-23,2.321104293114892e-19,4
4,TSPAN8,9.894971,1.812258,4.377397176433842e-23,2.369922831321282e-19,4
5,SPP1,9.815382,2.8126552,9.667069735918419e-23,4.361459629188526e-19,4
6,CFTR,9.477302,1.6948963,2.6094315186546664e-21,1.0091044458568831e-17,4
7,CRYBA2,9.412398,1.6367211,4.849430678767135e-21,1.6409261059278293e-17,4
8,TFPI2,9.339929,1.3748928,9.639926089237175e-21,2.8994755470627814e-17,4
9,CHGB,9.196895,2.3975012,3.6844468701651575e-20,9.973797677537081e-17,4
0,TTR,27.358961,5.9731455,8.448742499251933e-165,2.2870745945474984e-160,5
1,CLU,27.181282,2.726991,1.0811948289741762e-162,1.4633972010165477e-158,5
2,CPE,26.824392,3.604727,1.6785525396273974e-158,1.5146139082571214e-154,5
3,CHGB,26.789484,5.346479,4.284576045207102e-158,2.8995868385939064e-154,5
4,TM4SF4,26.677652,4.0970955,8.553124757644276e-157,4.630661743788611e-153,5
5,VGF,26.55049,4.2336574,2.5349798996463706e-155,1.1436984313904543e-151,5
6,ALDH1A1,26.28857,3.0178518,2.5910989952075583e-152,9.609759059736237e-149,5
7,ATP5F1E,26.285088,1.151396,2.8399731244141074e-152,9.609759059736237e-149,5
8,TMEM176B,26.211159,2.29478,1.9827623358640163e-151,5.9637084924265466e-148,5
9,PCSK2,26.031008,3.4430678,2.2077124829748564e-149,5.9762776914129365e-146,5
0,SST,18.745434,10.597886,2.1094766258424078e-78,5.710353226155398e-74,6
1,RBP4,16.782984,4.4224405,3.2508429954116975e-63,4.400015994289733e-59,6
2,SEC11C,15.378898,1.6460177,2.2677545302433646e-53,2.0462705044562625e-49,6
3,LEPR,15.325116,4.696596,5.196154027277246e-53,3.516497237959877e-49,6
4,ENSG00000286190,14.058105,2.0983794,6.870127112083933e-45,3.7194868184822414e-41,6
5,PCP4,13.759476,2.2398837,4.467531789624066e-43,2.0156014257520578e-39,6
6,PCSK1,13.554519,2.3559039,7.44988101241424e-42,2.8809754143721926e-38,6
7,BEX1,13.429973,2.2974968,4.0356205768159703e-41,1.365553112680104e-37,6
8,VAMP2,13.043018,1.6358905,6.964474119544221e-39,2.094759049067356e-35,6
9,LY6H,12.536758,6.8591123,4.698224355574643e-36,1.2718093330540557e-32,6
0,COL1A1,20.058998,9.430118,1.6844314374964275e-89,1.282187503427804e-85,7
1,COL1A2,20.05733,10.141569,1.7419462642236037e-89,1.282187503427804e-85,7
2,COL6A2,20.046623,8.715196,2.1602233582246172e-89,1.282187503427804e-85,7
3,COL6A3,20.045248,9.69888,2.2207496244080468e-89,1.282187503427804e-85,7
4,AEBP1,20.03739,8.815478,2.6005228858713755e-89,1.282187503427804e-85,7
5,BGN,20.03297,8.981192,2.8419375768625138e-89,1.282187503427804e-85,7
6,SPARC,20.00429,8.616856,5.0533638946903395e-89,1.791532108153229e-85,7
7,COL15A1,19.997807,8.491271,5.7548017917534794e-89,1.791532108153229e-85,7
8,FN1,19.995842,8.124702,5.985945727781227e-89,1.791532108153229e-85,7
9,COL3A1,19.990833,8.705858,6.618145948109453e-89,1.791532108153229e-85,7
0,CPA1,9.378114,2.7036672,6.716338822480428e-21,1.818112919245452e-16,8
1,SYCN,9.21352,1.9689513,3.156014416719668e-20,4.271665513030071e-16,8
2,CLPS,8.983009,2.8266492,2.634609088618388e-19,1.9405829975703714e-15,8
3,KLK1,8.973687,1.7886177,2.86750350582988e-19,1.9405829975703714e-15,8
4,REG1B,8.928011,3.9977992,4.337354104643368e-19,2.3482435122539194e-15,8
5,CPA2,8.873679,2.1899858,7.076811142127782e-19,2.7432596802775335e-15,8
6,PRSS1,8.873413,3.574248,7.093763487972935e-19,2.7432596802775335e-15,8
7,GSTA2,8.813289,1.6655998,1.2152738936179756e-18,4.112183037529825e-15,8
8,CPB1,8.780463,2.5534084,1.6280326752560339e-18,4.782061483307823e-15,8
9,REG3A,8.771275,3.1068609,1.76655392807825e-18,4.782061483307823e-15,8
0,PECAM1,9.275322,10.465993,1.770837568383327e-20,1.2597096097886e-16,9
1,TCF4,9.269371,6.36478,1.8724616491940156e-20,1.2597096097886e-16,9
2,RGCC,9.255345,7.3126993,2.1353852371672056e-20,1.2597096097886e-16,9
3,ENG,9.237282,7.0261526,2.528380091193236e-20,1.2597096097886e-16,9
4,IFI27,9.237069,7.674873,2.533405206396586e-20,1.2597096097886e-16,9
5,CCDC85B,9.226656,3.4182158,2.79211586949819e-20,1.2597096097886e-16,9
6,FKBP1A,9.200942,3.1540759,3.548241413641994e-20,1.3385250811590462e-16,9
7,RAB13,9.189254,2.5123794,3.9557446063067485e-20,1.3385250811590462e-16,9
8,MCAM,9.172891,6.136257,4.605012264339133e-20,1.385085355507337e-16,9
9,IGFBP4,9.1558895,6.6521277,5.391170438750595e-20,1.4593898377697862e-16,9
0,CLPS,11.037452,3.6126568,2.520819565284458e-28,3.1550455756319068e-24,10
1,KLK1,10.986357,2.467374,4.445097345033998e-28,3.1550455756319068e-24,10
2,CPA1,10.982175,3.2160091,4.65580190079222e-28,3.1550455756319068e-24,10
3,CPB1,10.982053,3.3256755,4.662054784827346e-28,3.1550455756319068e-24,10
4,REG3A,10.905987,3.8955634,1.0791598057399747e-27,4.9440145341424564e-24,10
5,CELA3A,10.9045925,2.7843535,1.0958288586943015e-27,4.9440145341424564e-24,10
6,REG1B,10.864226,4.7106023,1.706641791628641e-27,6.599827614198188e-24,10
7,PLA2G1B,10.844952,3.9067638,2.1074693475805116e-27,7.131149404875556e-24,10
8,C3,10.771007,2.415977,4.718136087319195e-27,1.4191104875970066e-23,10
9,CTRB1,10.752581,4.546277,5.7626110671806296e-27,1.5599388158857966e-23,10
